1.99999999999992e+00, 0,
1.92787595947438e+01, 1,
1.57854828256358e+00, 2,
4.88632451273774e+00, 3,
8.45538822649102e-01, 4,
1.98258201166309e-01, 5,
4.88308023643742e-02, 6,
1.21630394132448e-02, 7,
3.03798671178290e-03, 8,
7.59323638655163e-04, 9,
1.89820099105287e-04, 10,
4.74543491859603e-05, 11,
1.18635450696569e-05, 12,
2.96588362935779e-06, 13,
7.41470746135064e-07, 14,
1.85367670546555e-07, 15,
4.63419063123638e-08, 16,
1.15854916771241e-08, 17,
2.89638424355587e-09, 18,
7.24075910341071e-10, 19,
1.81019865763687e-10, 20,
