1.07689395995321e+01, 2,
8.07943320136069e+00, 3,
1.00423453083946e+00, 4,
1.47571763199879e-02, 5,
1.23247792064296e-04, 6,
1.70391836662453e-06, 7,
2.58589685220301e-08, 8,
4.01145561212957e-10, 9,
6.25366425310858e-12, 10,
9.90318937965640e-14, 11,
3.55271367880050e-15, 12,
1.99840144432528e-15, 13,
5.32907051820075e-15, 14,
8.43769498715119e-15, 15,
1.46549439250521e-14, 16,
2.24265050974282e-14, 17,
1.46549439250521e-14, 18,
2.93098878501041e-14, 19,
3.33066907387547e-15, 20,
2.48689957516035e-14, 21,
2.49800180540660e-13, 22,
