2.50383461263251e+01, 1,
8.53098424166605e+00, 2,
7.04128211117151e+00, 3,
5.01389740713777e-01, 4,
1.75020059946225e-02, 5,
9.78330569603614e-04, 6,
5.95482371315015e-05, 7,
3.69752203788209e-06, 8,
2.30719053639916e-07, 9,
1.44140779312352e-08, 10,
9.00787000546188e-10, 11,
5.63025182032106e-11, 12,
3.51718654201250e-12, 13,
2.14939177567430e-13, 14,
2.13162820728030e-14, 15,
1.50990331349021e-14, 16,
2.02060590481778e-14, 17,
1.50990331349021e-14, 18,
2.66453525910038e-14, 19,
1.33226762955019e-15, 20,
2.35367281220533e-14, 21,
